Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,VBD_OO,VBD_RD,VBD_WR,LOAD1,LOAD5,Label
1316327375,100,4,511,441,96,70,8,33,0,0,0,0.69,0.57,0
1316327376,100,24,511,441,76,70,9,49,0,0,0,0.69,0.57,0
1316327377,100,33,511,441,67,70,9,38,0,0,0,0.69,0.57,0
1316327378,100,18,511,441,82,70,7,37,0,0,0,0.69,0.57,0
1316327379,100,22,511,441,78,70,9,50,0,0,0,0.63,0.56,0
1316327380,100,18,511,441,82,70,9,46,0,0,0,0.63,0.56,0
1316327381,100,12,511,441,88,70,10,63,0,0,0,0.63,0.56,0
1316327382,100,26,511,441,74,70,11,53,0,0,0,0.63,0.56,0
1316327383,100,11,511,441,89,70,11,53,0,0,0,0.63,0.56,0
1316327384,100,25,511,441,75,70,9,42,0,0,0,0.66,0.57,0
1316327385,100,33,511,441,67,70,11,47,0,0,0,0.66,0.57,0
1316327386,100,22,511,441,78,70,10,38,0,0,0,0.66,0.57,0
1316327387,100,15,511,441,85,70,5,23,0,0,0,0.66,0.57,0
1316327388,100,29,511,441,71,70,7,34,0,0,0,0.66,0.57,0
1316327389,100,19,511,441,81,70,10,51,0,0,0,0.61,0.56,0
1316327390,100,21,511,441,79,70,8,28,0,0,0,0.61,0.56,0
1316327391,100,32,511,441,68,70,16,92,0,0,0,0.61,0.56,0
1316327392,100,24,511,441,76,70,9,41,0,0,0,0.61,0.56,0
1316327393,100,47,511,441,53,70,10,53,0,0,0,0.61,0.56,0
1316327394,100,25,511,441,75,70,12,64,0,0,0,0.72,0.58,0
1316327395,100,26,511,441,74,70,11,56,0,0,0,0.72,0.58,0
1316327396,100,38,511,441,62,70,8,49,0,0,0,0.72,0.58,0
1316327397,100,9,511,441,91,70,10,41,0,0,0,0.72,0.58,0
1316327398,100,55,511,441,45,70,10,57,0,0,0,0.72,0.58,0
1316327399,100,33,511,441,67,70,8,39,0,0,0,0.74,0.59,0
1316327400,100,14,511,441,86,70,7,34,0,0,0,0.74,0.59,0
1316327401,100,41,511,441,59,70,13,62,0,0,0,0.74,0.59,0
1316327402,100,14,511,441,86,70,7,40,0,0,0,0.74,0.59,0
1316327403,100,18,511,441,82,70,8,32,0,0,0,0.74,0.59,0
1316327404,100,46,511,441,54,70,9,43,0,0,0,0.68,0.58,0
1316327405,100,24,511,441,76,70,12,60,0,0,0,0.68,0.58,0
1316327406,100,21,511,441,79,70,8,36,0,0,0,0.68,0.58,0
1316327407,100,14,511,441,86,70,9,43,0,0,0,0.68,0.58,0
1316327408,100,18,511,441,82,70,10,38,0,0,0,0.68,0.58,0
1316327409,100,28,511,441,72,70,9,49,0,0,0,0.63,0.57,0
1316327410,100,11,511,441,89,70,6,34,0,0,0,0.63,0.57,0
1316327411,100,29,511,441,71,70,11,62,0,0,0,0.63,0.57,0
1316327412,100,24,511,441,76,70,12,70,0,0,0,0.63,0.57,0
1316327413,100,20,511,441,80,70,9,49,0,0,0,0.63,0.57,0
1316327414,100,30,511,441,70,70,10,68,0,0,0,0.58,0.56,0
1316327415,100,22,511,441,78,70,12,55,0,0,0,0.58,0.56,0
1316327416,100,13,511,441,87,70,10,54,0,0,0,0.58,0.56,0
1316327417,100,40,511,441,60,70,13,59,0,0,0,0.58,0.56,0
1316327418,100,21,511,441,79,70,11,53,0,0,0,0.58,0.56,0
1316327419,100,15,511,441,85,70,7,46,0,0,0,0.53,0.55,0
1316327420,100,28,511,441,72,70,8,47,0,0,0,0.53,0.55,0
1316327421,100,30,511,441,70,70,12,56,0,0,0,0.53,0.55,0
1316327422,100,42,511,441,58,70,11,67,0,0,0,0.53,0.55,0
1316327423,100,14,511,441,86,70,7,31,0,0,0,0.53,0.55,0
1316327424,100,41,511,441,59,70,14,41,0,0,0,0.65,0.57,0
1316327425,100,29,511,441,71,70,8,51,0,0,0,0.65,0.57,0
1316327426,100,20,511,441,80,70,12,58,0,0,0,0.65,0.57,0
1316327427,100,27,511,441,73,70,8,33,0,0,0,0.65,0.57,0
1316327428,100,22,511,441,78,70,6,27,0,0,0,0.65,0.57,0
1316327429,100,37,511,441,63,70,9,40,0,0,0,0.60,0.56,0
1316327430,100,13,511,441,87,70,7,35,0,0,0,0.60,0.56,0
1316327431,100,16,511,441,84,70,5,23,0,0,0,0.60,0.56,0
1316327432,100,33,511,441,67,70,6,30,0,0,0,0.60,0.56,0
1316327433,100,41,511,441,59,70,10,39,0,0,0,0.60,0.56,0
1316327434,100,10,511,441,90,70,11,38,0,0,0,0.55,0.55,0
1316327435,100,21,511,441,79,70,9,46,0,0,0,0.55,0.55,0
1316327436,100,26,511,441,74,70,11,54,0,0,0,0.55,0.55,0
1316327437,100,8,511,441,92,70,8,45,0,0,0,0.55,0.55,0
1316327438,100,26,511,441,74,70,9,40,0,0,0,0.55,0.55,0
1316327439,100,26,511,441,74,70,6,26,0,0,0,0.58,0.56,0
1316327440,100,27,511,441,73,70,8,26,0,0,0,0.58,0.56,0
1316327441,100,19,511,441,81,70,11,63,0,0,0,0.58,0.56,0
1316327442,100,35,511,441,65,70,16,79,0,0,0,0.58,0.56,0
1316327443,100,28,511,441,72,70,10,58,0,0,0,0.58,0.56,0
1316327444,100,26,511,441,74,70,8,38,0,0,0,0.54,0.55,0
1316327445,100,15,511,441,85,70,5,25,0,0,0,0.54,0.55,0
1316327446,100,17,511,441,83,70,11,54,0,0,0,0.54,0.55,0
1316327447,100,32,511,441,68,70,12,65,0,0,0,0.54,0.55,0
1316327448,100,28,511,441,72,70,12,59,0,0,0,0.49,0.54,0
1316327449,100,15,511,441,85,70,9,43,0,0,0,0.49,0.54,0
1316327450,100,24,511,441,76,70,7,23,0,0,0,0.49,0.54,0
1316327451,100,20,511,441,80,70,8,32,0,0,0,0.49,0.54,0
1316327452,100,35,511,441,65,70,11,54,0,0,0,0.49,0.54,0
1316327453,100,14,511,441,86,70,7,37,0,0,0,0.45,0.53,0
1316327454,100,16,511,441,84,70,7,30,0,0,0,0.45,0.53,0
1316327455,100,36,511,441,64,70,10,52,0,0,0,0.45,0.53,0
1316327456,100,19,511,441,81,70,10,53,0,0,0,0.45,0.53,0
1316327457,100,16,511,441,84,70,10,57,0,0,0,0.45,0.53,0
1316327458,100,16,511,441,84,70,9,31,0,0,0,0.42,0.52,0
1316327459,100,16,511,441,84,70,7,27,0,0,0,0.42,0.52,0
1316327460,100,23,511,441,77,70,10,48,0,0,0,0.42,0.52,0
1316327461,100,29,511,441,71,70,7,36,0,0,0,0.42,0.52,0
1316327462,100,14,511,441,86,70,10,54,0,0,0,0.42,0.52,0
1316327463,100,32,511,441,68,70,9,50,0,0,0,0.38,0.51,0
1316327464,100,12,511,441,88,70,6,31,0,0,0,0.38,0.51,0
1316327465,100,11,511,441,89,70,7,40,0,0,0,0.38,0.51,0
1316327466,100,33,511,441,67,70,9,32,0,0,0,0.38,0.51,0
